Table 1,ANZSOC Division,Year Month,Victimisations, Month Year,ANZSOC Group,ANZSOC Subdivision,Area Unit,Location Type,Locn Type Division,Meshblock,Number of Records,Occurrence Day Of Week,Occurrence Hour Of Day,Territorial Authority,Weapon,Year Month (copy 2)
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Auckland Central East.,.,Community Location,437500,1,Sunday,6,Auckland.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Auckland Central East.,.,Community Location,438000,1,Sunday,6,Auckland.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Broads.,.,Community Location,2329800,1,Sunday,6,Nelson City.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Nukuhau.,.,Community Location,1275200,1,Sunday,6,Taupo District.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Mission Bay.,.,Community Location,501800,1,Sunday,8,Auckland.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Homai East.,.,Community Location,780100,1,Sunday,9,Auckland.,None,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Fernhill.,.,Community Location,2895300,1,Sunday,9,Dunedin City.,None,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Papakura Central.,.,Community Location,793000,1,Sunday,10,Auckland.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Cannons Creek North.,.,Community Location,2048900,1,Sunday,10,Porirua City.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Cooks Gardens.,.,Community Location,1698300,1,Sunday,10,Wanganui District.,None,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Mt Eden North.,.,Community Location,542700,1,Sunday,10,Auckland.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Newtown West.,.,Community Location,2164600,1,Sunday,10,Wellington City.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Willis Street-Cambridge Terrace.,.,Community Location,2132400,1,Sunday,10,Wellington City.,None,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Auckland Central West.,.,Community Location,433200,1,Sunday,11,Auckland.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Willis Street-Cambridge Terrace.,.,Community Location,2131500,1,Sunday,11,Wellington City.,None,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Cathedral Square.,.,Community Location,2647800,1,Sunday,11,Christchurch City.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Tahunanui.,.,Community Location,2333100,1,Sunday,11,Nelson City.,None,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Grafton East.,.,Community Location,442400,1,Sunday,12,Auckland.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Otahuhu West.,.,Community Location,784200,1,Sunday,12,Auckland.,None,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Henderson South.,.,Community Location,244001,1,Sunday,12,Auckland.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Otorohanga Rural East.,.,Community Location,999500,1,Sunday,12,Otorohanga District.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Kelvin Grove.,.,Community Location,1839000,1,Sunday,12,Palmerston North City.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Te Puke West.,.,Community Location,1214201,1,Sunday,12,Western Bay of Plenty District.,None,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Middlemore.,.,Community Location,786500,1,Sunday,13,Auckland.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Hamilton Central.,.,Community Location,912000,1,Sunday,13,Hamilton City.,None,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Onehunga South West.,.,Community Location,598700,1,Sunday,13,Auckland.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Bruce.,.,Community Location,2988300,1,Sunday,13,Clutha District.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Mt Maunganui North.,.,Community Location,1194501,1,Sunday,13,Tauranga City.,None,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Auckland Central West.,.,Community Location,434000,1,Sunday,14,Auckland.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Spreydon.,.,Community Location,2643000,1,Sunday,14,Christchurch City.,None,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Massey Park.,.,Community Location,797800,1,Sunday,14,Auckland.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Palm Beach.,.,Community Location,1205019,1,Sunday,14,Tauranga City.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Whitianga.,.,Community Location,1047300,1,Sunday,14,Thames-Coromandel District.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Wairoa.,.,Community Location,1388600,1,Sunday,14,Wairoa District.,None,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Tauhara.,.,Community Location,1269800,1,Sunday,15,Taupo District.,None,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Fruitvale.,.,Community Location,263500,1,Sunday,15,Auckland.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Westlake.,.,Community Location,305201,1,Sunday,15,Auckland.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Cathedral Square.,.,Community Location,2652000,1,Sunday,15,Christchurch City.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Raureka.,.,Community Location,1480800,1,Sunday,15,Hastings District.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Strathmore Park.,.,Community Location,2213600,1,Sunday,15,Wellington City.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Thorndon-Tinakori Road.,.,Community Location,2121300,1,Sunday,15,Wellington City.,None,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Auckland Central West.,.,Community Location,435000,1,Sunday,16,Auckland.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Hamilton Central.,.,Community Location,910700,1,Sunday,16,Hamilton City.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Moera.,.,Community Location,1962800,1,Sunday,16,Lower Hutt City.,None,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Sumner.,.,Community Location,2704502,1,Sunday,16,Christchurch City.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,999999,.,Community Location,-125,1,Sunday,16,Gisborne District.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,North Gore.,.,Community Location,3062200,1,Sunday,16,Gore District.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Huntington.,.,Community Location,952201,1,Sunday,16,Hamilton City.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Palmerston North Central.,.,Community Location,1828700,1,Sunday,16,Palmerston North City.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Vogeltown.,.,Community Location,2200300,1,Sunday,16,Wellington City.,None,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Freemans Bay.,.,Community Location,415700,1,Sunday,17,Auckland.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Mt Wellington South.,.,Community Location,637400,1,Sunday,17,Auckland.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Papatoetoe East.,.,Community Location,669200,1,Sunday,17,Auckland.,None,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Edmonton.,.,Community Location,255800,1,Sunday,17,Auckland.,None,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Ensors.,.,Community Location,2583100,1,Sunday,18,Christchurch City.,None,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Grafton West.,.,Community Location,441800,1,Sunday,18,Auckland.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Middlemore.,.,Community Location,786500,1,Sunday,18,Auckland.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Camberley.,.,Community Location,1478700,1,Sunday,18,Hastings District.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Blenheim Central.,.,Community Location,2297500,1,Sunday,18,Marlborough District.,None,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Dannemora.,.,Community Location,711709,1,Sunday,19,Auckland.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Hastings Central.,.,Community Location,1493000,1,Sunday,19,Hastings District.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Te Awamutu South.,.,Community Location,975404,1,Sunday,19,Waipa District.,None,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Manurewa Central.,.,Community Location,752100,1,Sunday,19,Auckland.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Waiheke Island.,.,Community Location,515004,1,Sunday,19,Auckland.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Hutt Central.,.,Community Location,1968700,1,Sunday,19,Lower Hutt City.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Karori South.,.,Community Location,2114200,1,Sunday,19,Wellington City.,None,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Rosebank.,.,Community Location,389400,1,Sunday,20,Auckland.,None,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,999999,.,Community Location,-82,1,Sunday,20,Auckland.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,New Lynn South.,.,Community Location,268600,1,Sunday,20,Auckland.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Edgeware.,.,Community Location,2694400,1,Sunday,20,Christchurch City.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Marsland Hill.,.,Community Location,1595600,1,Sunday,20,New Plymouth District.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Kamo West.,.,Community Location,82804,1,Sunday,20,Whangarei District.,None,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Harania West.,.,Community Location,735500,1,Sunday,21,Auckland.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Ilam.,.,Community Location,2537600,1,Sunday,21,Christchurch City.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Woodhill.,.,Community Location,103000,1,Sunday,21,Whangarei District.,None,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Auckland Harbourside.,.,Community Location,438214,1,Sunday,21,Auckland.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Glenbrook.,.,Community Location,832800,1,Sunday,21,Auckland.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Palmerston North Central.,.,Community Location,1827200,1,Sunday,21,Palmerston North City.,None,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Hamilton Central.,.,Community Location,912100,1,Sunday,22,Hamilton City.,None,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,St Marys.,.,Community Location,425300,1,Sunday,22,Auckland.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,High St-Stuart St.,.,Community Location,2899900,1,Sunday,22,Dunedin City.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Papamoa Beach East.,.,Community Location,1204708,1,Sunday,22,Tauranga City.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Aro Street-Nairn Street.,.,Community Location,2159601,1,Sunday,22,Wellington City.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Newtown West.,.,Community Location,2164600,1,Sunday,22,Wellington City.,None,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Manurewa Central.,.,Community Location,751500,1,Sunday,23,Auckland.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Middlemore.,.,Community Location,786500,1,Sunday,23,Auckland.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Queenstown Hill.,.,Community Location,3034500,1,Sunday,23,Queenstown-Lakes District.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Common assault,Common Assault,Wanaka.,.,Community Location,3036000,1,Sunday,23,Queenstown-Lakes District.,None,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Common assault,Common Assault,Newton.,.,Community Location,412200,1,Sunday,99,Auckland.,None,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Favona West.,.,Community Location,729902,1,Sunday,0,Auckland.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Otahuhu West.,.,Community Location,782200,1,Sunday,0,Auckland.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Fraser Park.,.,Community Location,2788400,1,Sunday,0,Timaru District.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Ngaruawahia.,.,Community Location,855702,1,Sunday,0,Waikato District.,None,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Auckland Central East.,.,Community Location,437701,1,Sunday,0,Auckland.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Otara East.,.,Community Location,703800,1,Sunday,0,Auckland.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Trafalgar.,.,Community Location,2320300,1,Sunday,0,Nelson City.,None,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Newton.,.,Community Location,412302,1,Sunday,1,Auckland.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Gladstone-Avenal.,.,Community Location,3116000,1,Sunday,1,Invercargill City.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,New Plymouth Central.,.,Community Location,1592700,1,Sunday,1,New Plymouth District.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Huntly East.,.,Community Location,947200,1,Sunday,1,Waikato District.,None,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Auckland Harbourside.,.,Community Location,432800,1,Sunday,1,Auckland.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Henderson North.,.,Community Location,239804,1,Sunday,1,Auckland.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Beerescourt.,.,Community Location,901100,1,Sunday,1,Hamilton City.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,New Plymouth Central.,.,Community Location,1593800,1,Sunday,1,New Plymouth District.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Mangakino.,.,Community Location,1290200,1,Sunday,1,Taupo District.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Tauranga Central.,.,Community Location,1164900,1,Sunday,1,Tauranga City.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Whangarei Central.,.,Community Location,99700,1,Sunday,1,Whangarei District.,None,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Grafton East.,.,Community Location,442400,1,Sunday,2,Auckland.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Kiwitea.,.,Community Location,1776300,1,Sunday,2,Manawatu District.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Blenheim Central.,.,Community Location,2297300,1,Sunday,2,Marlborough District.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Tauranga Central.,.,Community Location,1163900,1,Sunday,2,Tauranga City.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Kihikihi.,.,Community Location,989901,1,Sunday,2,Waipa District.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Gonville South.,.,Community Location,1724100,1,Sunday,2,Wanganui District.,None,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Sydenham.,.,Community Location,2623100,1,Sunday,2,Christchurch City.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Palmerston North Central.,.,Community Location,1829300,1,Sunday,2,Palmerston North City.,None,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Tolaga Bay.,.,Community Location,1355002,1,Sunday,3,Gisborne District.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Seaview.,.,Community Location,2793500,1,Sunday,3,Timaru District.,None,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Auckland Central West.,.,Community Location,435604,1,Sunday,3,Auckland.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Otakaro Park.,.,Community Location,3107000,1,Sunday,3,Invercargill City.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Willis Street-Cambridge Terrace.,.,Community Location,2133408,1,Sunday,3,Wellington City.,None,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Newton.,.,Community Location,412200,1,Sunday,4,Auckland.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Hamilton Central.,.,Community Location,908900,1,Sunday,4,Hamilton City.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Ahuriri.,.,Community Location,1419300,1,Sunday,4,Napier City.,None,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Palmerston North Central.,.,Community Location,1829200,1,Sunday,4,Palmerston North City.,None,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Freemans Bay.,.,Community Location,413800,1,Sunday,4,Auckland.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Willis Street-Cambridge Terrace.,.,Community Location,2135700,1,Sunday,4,Wellington City.,None,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Auckland Central West.,.,Community Location,434105,1,Sunday,5,Auckland.,None,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Ormiston.,.,Community Location,712401,1,Sunday,5,Auckland.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Palmerston North Hospital.,.,Community Location,1833900,1,Sunday,6,Palmerston North City.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Netherby.,.,Community Location,2734400,1,Sunday,8,Ashburton District.,None,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Porirua Central.,.,Community Location,2053104,1,Sunday,8,Porirua City.,None,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Ngapuna.,.,Community Location,1257900,1,Sunday,9,Rotorua District.,None,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Kingseat.,.,Community Location,826903,1,Sunday,9,Auckland.,None,December 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Redwood South.,.,Community Location,2507607,1,UNKNOWN,99,Christchurch City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Redwood South.,.,Community Location,2508301,1,UNKNOWN,99,Christchurch City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Richmond North.,.,Community Location,2697400,1,UNKNOWN,99,Christchurch City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Richmond South.,.,Community Location,2693100,1,UNKNOWN,99,Christchurch City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Russley.,.,Community Location,2519800,1,UNKNOWN,99,Christchurch City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Russley.,.,Community Location,2520601,1,UNKNOWN,99,Christchurch City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Russley.,.,Community Location,2520603,1,UNKNOWN,99,Christchurch City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Russley.,.,Community Location,2520802,1,UNKNOWN,99,Christchurch City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Rutland.,.,Community Location,2682300,1,UNKNOWN,99,Christchurch City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Rutland.,.,Community Location,2683900,1,UNKNOWN,99,Christchurch City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Sockburn.,.,Community Location,2479400,1,UNKNOWN,99,Christchurch City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Somerfield.,.,Community Location,2646800,1,UNKNOWN,99,Christchurch City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,South Brighton.,.,Community Location,2556200,1,UNKNOWN,99,Christchurch City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Spreydon.,.,Community Location,2643400,1,UNKNOWN,99,Christchurch City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Spreydon.,.,Community Location,2644200,1,UNKNOWN,99,Christchurch City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,St Albans East.,.,Community Location,2686800,1,UNKNOWN,99,Christchurch City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,St Albans East.,.,Community Location,2691000,1,UNKNOWN,99,Christchurch City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,St Albans West.,.,Community Location,2686300,1,UNKNOWN,99,Christchurch City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,St Martins.,.,Community Location,2626700,1,UNKNOWN,99,Christchurch City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Strowan.,.,Community Location,2671100,1,UNKNOWN,99,Christchurch City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Strowan.,.,Community Location,2671300,1,UNKNOWN,99,Christchurch City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Sydenham.,.,Community Location,2622703,1,UNKNOWN,99,Christchurch City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Travis Wetland.,.,Community Location,2503702,1,UNKNOWN,99,Christchurch City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Upper Riccarton.,.,Community Location,2541500,1,UNKNOWN,99,Christchurch City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Upper Riccarton.,.,Community Location,2542500,1,UNKNOWN,99,Christchurch City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Waimairi Beach.,.,Community Location,2504210,1,UNKNOWN,99,Christchurch City.,Not Applicable,November 2024
